ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:03.307506', 'src_ip': '52.168.117.168', 'dst_ip': '192.168.0.118', 'src_port': 443, 'dst_port': 59269, 'protocol': 'TCP', 'packet_length': 54, 'protocol_type': 1, 'src_bytes': 54, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:03.309111', 'src_ip': '52.168.117.168', 'dst_ip': '192.168.0.118', 'src_port': 443, 'dst_port': 59269, 'protocol': 'TCP', 'packet_length': 157, 'protocol_type': 1, 'src_bytes': 157, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:03.310323', 'src_ip': '52.168.117.168', 'dst_ip': '192.168.0.118', 'src_port': 443, 'dst_port': 59269, 'protocol': 'TCP', 'packet_length': 519, 'protocol_type': 1, 'src_bytes': 519, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:03.311158', 'src_ip': '192.168.0.118', 'dst_ip': '52.168.117.168', 'src_port': 59269, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 54, 'protocol_type': 1, 'src_bytes': 54, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:03.311997', 'src_ip': '192.168.0.118', 'dst_ip': '52.168.117.168', 'src_port': 59269, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 78, 'protocol_type': 1, 'src_bytes': 78, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:03.312825', 'src_ip': '192.168.0.118', 'dst_ip': '52.168.117.168', 'src_port': 59269, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 54, 'protocol_type': 1, 'src_bytes': 54, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:03.508110', 'src_ip': '52.168.117.168', 'dst_ip': '192.168.0.118', 'src_port': 443, 'dst_port': 59269, 'protocol': 'TCP', 'packet_length': 54, 'protocol_type': 1, 'src_bytes': 54, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:03.733083', 'src_ip': '20.191.166.67', 'dst_ip': '192.168.0.118', 'src_port': 443, 'dst_port': 57554, 'protocol': 'TCP', 'packet_length': 81, 'protocol_type': 1, 'src_bytes': 81, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:03.784059', 'src_ip': '192.168.0.118', 'dst_ip': '20.191.166.67', 'src_port': 57554, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 54, 'protocol_type': 1, 'src_bytes': 54, 'dst_bytes': 0} | Predicted label: 11
ALERT: Suspicious activity detected: {'timestamp': '2025-10-18T15:35:04.438431', 'src_ip': '192.168.0.118', 'dst_ip': '20.191.166.67', 'src_port': 57554, 'dst_port': 443, 'protocol': 'TCP', 'packet_length': 85, 'protocol_type': 1, 'src_bytes': 85, 'dst_bytes': 0} | Predicted label: 11
